#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7000
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.74000 0.0004089500 0.0081505900 0.1087095700 0.8827308900 0.0000186382 0.0000954902 0.0003508438 0.0003727011 2.0588515666 0.0222417278 0.4876556185 0.0917841698
0.75000 0.0004043200 0.0079498100 0.1069303200 0.8847155500 0.0000205121 0.0000877714 0.0003090712 0.0003074397 2.0539797659 0.0240330957 0.4623970618 0.0841626029
0.76000 0.0003949900 0.0077432200 0.1050406400 0.8868211500 0.0000193972 0.0000931748 0.0003013156 0.0003024322 2.0518092397 0.0230830753 0.4524092186 0.0919527288
0.77000 0.0003877200 0.0075462900 0.1032858900 0.8887801000 0.0000201224 0.0000918033 0.0002950853 0.0003232402 2.0536591239 0.0238185579 0.4604599674 0.0875839362
0.78000 0.0003781900 0.0073607800 0.1015931200 0.8906679100 0.0000210400 0.0000817754 0.0003050717 0.0003024542 2.0518836774 0.0230544040 0.4579889561 0.0887287763
0.79000 0.0003721200 0.0071649200 0.0999129900 0.8925499700 0.0000226900 0.0000908041 0.0002959351 0.0003149414 2.0473637905 0.0221007398 0.4413934630 0.0922088773
0.80000 0.0003644000 0.0069859400 0.0981988000 0.8944508600 0.0000169002 0.0000812395 0.0002699359 0.0002749114 2.0460088001 0.0241964692 0.4393691216 0.0985328120
0.81000 0.0003552900 0.0067937000 0.0965964600 0.8962545500 0.0000176454 0.0000713116 0.0003077796 0.0003048066 2.0471595290 0.0240151621 0.4351051080 0.0912830557
0.82000 0.0003485700 0.0066301800 0.0950454700 0.8979757800 0.0000199212 0.0000975479 0.0002963610 0.0003030480 2.0409339164 0.0256393315 0.4130151346 0.0973135577
0.83000 0.0003425600 0.0064779700 0.0934748200 0.8997046500 0.0000205958 0.0000819203 0.0003030508 0.0003150236 2.0432694739 0.0262583756 0.4243039791 0.1036345179
0.84000 0.0003317800 0.0063059600 0.0919646200 0.9013976400 0.0000174730 0.0000814952 0.0002791888 0.0002822673 2.0464630043 0.0252070143 0.4340581895 0.0942195450
0.85000 0.0003310000 0.0061496800 0.0904815300 0.9030377900 0.0000172258 0.0000844136 0.0002664929 0.0002835889 2.0369391436 0.0212844008 0.3978258641 0.0823025091
0.86000 0.0003240800 0.0059993300 0.0890029600 0.9046736300 0.0000187389 0.0000762455 0.0002672162 0.0002815014 2.0342352201 0.0246138385 0.3914866108 0.0934464956
0.87000 0.0003146200 0.0058585800 0.0876966900 0.9061301100 0.0000206201 0.0000723563 0.0002553469 0.0002643756 2.0300448591 0.0211443424 0.3758015097 0.0849593531
0.88000 0.0003086100 0.0057051300 0.0862156200 0.9077706400 0.0000185896 0.0000857660 0.0002682606 0.0002786892 2.0317805568 0.0204843291 0.3838521412 0.0919842425
0.89000 0.0003030500 0.0055661500 0.0848978400 0.9092329600 0.0000181110 0.0000725753 0.0002905765 0.0002966587 2.0278655577 0.0231563763 0.3643776081 0.0989136789
